TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1527757086562,311.75,216,199
-1,313.9375,225,199
-1,316.125,233,199
-1,318.3125,239,199
-1,320.5625,242,199
-1,322.75,259,199
-1,325.3125,269,199
-1,327.875,284,199
-1,330.0625,287,199
-1,332.25,279,199
-1,334.5,273,199
-1,336.6875,266,199
-1,338.875,260,199
-1,341.0625,255,199
-1,343.25,251,199
-1,345.5,247,199
-1,347.6875,243,199
-1,349.875,239,199
-1,352.0625,236,199
-1,354.3125,233,199
-1,356.5,231,199
-1,358.6875,230,199
1527757086579,1.25,229,199
-1,3.4375,229,199
-1,5.625,228,199
-1,7.875,229,199
-1,10.0625,231,199
-1,12.25,231,199
-1,14.4375,233,199
-1,16.6875,235,199
-1,19.25,238,199
-1,21.4375,241,199
-1,23.625,244,199
-1,25.8125,248,199
-1,28,252,199
-1,30.25,255,199
-1,32.4375,261,199
-1,34.625,268,199
-1,37.1875,274,199
-1,39.5625,280,199
-1,41.8125,273,199
-1,44,260,199
-1,46.1875,247,199
-1,48.375,234,199
-1,50.5625,227,199
-1,52.8125,221,199
-1,55,210,199
-1,57.1875,207,199
-1,59.375,199,199
-1,61.5625,192,199
-1,63.8125,186,199
-1,66.5625,183,199
-1,69.125,179,199
-1,71.875,175,191
-1,74.625,170,191
-1,77.375,168,191
-1,80.125,166,191
-1,82.875,164,191
-1,85.625,162,191
-1,88.375,161,191
-1,90.9375,159,191
-1,93.6875,159,191
-1,96.4375,159,191
-1,99.1875,158,191
-1,101.75,159,191
-1,104.5,161,191
-1,107.25,163,191
-1,110.1875,164,191
-1,112.375,165,191
-1,114.9375,165,199
-1,117.6875,166,191
-1,120.25,170,191
-1,123,174,191
-1,125.75,179,199
-1,128.5,185,199
-1,130.9375,190,199
-1,133.3125,196,199
-1,135.5,203,199
-1,137.6875,207,199
-1,139.875,199,199
-1,142.125,193,199
-1,144.6875,187,199
-1,147.25,181,199
-1,149.8125,174,199
-1,152.375,169,199
-1,154.9375,165,199
-1,157.5,160,199
-1,160.0625,156,199
-1,162.25,154,191
-1,164.8125,152,191
-1,167.4375,148,191
-1,170.1875,147,191
-1,172.9375,144,191
-1,175.6875,142,191
-1,178.0625,141,191
-1,180.8125,141,191
-1,183.375,140,191
-1,185.9375,140,191
-1,188.6875,141,191
-1,191.4375,141,191
-1,194.1875,142,191
-1,196.9375,143,191
-1,199.6875,144,191
-1,202.4375,147,191
-1,205,149,191
-1,207.5625,153,191
-1,210.125,155,191
-1,212.3125,158,199
-1,214.875,162,199
-1,217.5,166,191
-1,220.25,172,199
-1,223,177,199
-1,225.5625,184,199
-1,228.125,190,199
-1,230.6875,197,199
-1,233.25,207,199
-1,235.8125,220,199
-1,238.1875,229,199
-1,240.375,223,199
-1,242.625,218,199
-1,244.8125,211,199
-1,247,208,199
-1,249.5625,202,199
-1,251.9375,198,199
-1,254.5,196,199
-1,257.0625,192,199
-1,259.625,190,199
-1,262.25,188,199
-1,265,186,199
-1,267.5625,185,199
-1,270.3125,184,191
-1,273.0625,184,191
-1,275.8125,183,191
-1,278.5625,183,191
-1,281.3125,184,199
-1,284.0625,185,191
-1,286.4375,186,199
-1,289,187,199
-1,291.5625,189,199
-1,294.125,190,199
-1,296.6875,194,199
-1,299.0625,198,199
-1,301.3125,201,199
-1,303.5,204,199
-1,305.6875,209,199
-1,308.0625,210,199
-1,310.25,210,199
-1,312.5,220,199
-1,314.6875,225,199
-1,316.875,233,199
-1,319.0625,241,199
-1,321.25,248,199
-1,323.5,264,199
-1,325.6875,275,199
-1,327.875,284,199
-1,330.4375,287,199
-1,332.625,278,199
-1,334.875,271,199
-1,337.0625,264,199
-1,339.25,258,199
-1,341.4375,254,199
-1,343.625,250,199
-1,346.1875,246,199
-1,348.625,242,199
-1,350.8125,236,199
-1,353,235,199
-1,355.1875,232,199
-1,357.375,230,199
-1,359.625,230,199
1527757086782,2,229,199
-1,4.1875,229,199
-1,6.375,229,199
-1,8.5625,230,199
-1,10.8125,231,199
-1,13,232,199
-1,15.1875,234,199
-1,17.375,236,199
-1,19.5625,238,199
-1,21.8125,241,199
-1,24,246,199
-1,26.5625,249,199
-1,28.9375,254,199
-1,31.125,258,199
-1,33.375,262,199
-1,35.5625,268,199
-1,37.75,275,199
-1,39.9375,281,199
-1,42.125,272,199
-1,44.375,255,199
-1,46.9375,242,199
-1,49.5,230,199
-1,51.6875,222,199
-1,53.875,215,199
-1,56.0625,209,199
-1,58.625,201,199
-1,61.25,193,199
-1,64,188,199
-1,66.9375,182,199
-1,69.5,178,199
-1,72.0625,174,191
-1,74.8125,170,191
-1,77.5625,168,191
-1,80.3125,167,191
-1,82.6875,163,191
-1,85.25,163,191
-1,87.8125,160,191
-1,90.375,160,191
-1,93.125,159,191
-1,95.6875,159,191
-1,98.4375,159,191
-1,101.1875,160,191
-1,103.75,160,191
-1,106.5,162,191
-1,108.875,163,191
-1,111.125,166,191
-1,113.6875,166,199
-1,116.4375,165,191
-1,119.1875,168,191
-1,121.9375,172,191
-1,124.6875,177,191
-1,127.4375,183,199
-1,129.8125,187,199
-1,132.375,193,199
-1,134.75,201,199
-1,136.9375,206,199
-1,139.1875,202,199
-1,141.375,195,199
-1,143.5625,188,199
-1,146.125,184,199
-1,148.6875,177,199
-1,151.625,171,199
-1,153.8125,166,199
-1,156.375,162,191
-1,158.625,158,199
-1,161.1875,155,199
-1,163.9375,152,191
-1,166.3125,148,191
-1,168.875,147,191
-1,171.4375,146,191
-1,174,143,191
-1,176.75,142,191
-1,179.5,141,191
-1,182.0625,140,191
-1,184.625,140,191
-1,187.375,141,191
-1,190.125,141,191
-1,192.875,141,191
-1,195.625,143,191
-1,198.375,144,191
-1,200.8125,146,191
-1,203.375,148,191
-1,205.9375,151,191
-1,208.5,153,191
-1,210.6875,156,191
-1,213.25,160,191
-1,215.8125,164,191
-1,218.375,168,199
-1,221.125,174,199
-1,223.875,180,199
-1,226.25,185,199
-1,228.8125,193,199
-1,231.4375,200,199
-1,234,211,199
-1,236.375,224,199
-1,238.5625,228,199
-1,240.75,222,199
-1,242.9375,215,199
-1,245.1875,210,199
-1,247.75,204,199
-1,250.3125,200,199
-1,252.5,196,199
-1,255.0625,194,199
-1,257.625,190,199
-1,260.375,190,199
-1,262.75,188,199
-1,265,187,199
-1,267.5625,185,199
-1,270.3125,184,191
-1,273.0625,184,191
-1,275.8125,182,191
-1,278.5625,182,191
-1,280.75,182,191
-1,283.3125,184,191
-1,285.875,186,199
-1,288.4375,187,199
-1,291.1875,189,199
-1,293.5625,191,199
-1,295.8125,193,199
-1,298,195,199
-1,300.1875,199,199
-1,302.375,201,199
-1,304.5625,206,199
-1,306.8125,211,199
-1,309,208,199
-1,311.5625,216,199
-1,314.125,224,199
-1,316.875,232,199
-1,319.0625,241,199
-1,321.25,247,199
-1,323.8125,263,199
-1,326.25,276,199
-1,328.4375,285,199
-1,330.4375,285,199
-1,332.625,277,199
-1,335.1875,270,199
-1,337.4375,263,199
-1,339.625,258,199
-1,341.8125,254,199
-1,344,250,199
-1,346.1875,246,199
-1,348.4375,242,199
-1,351,237,199
-1,353.375,233,199
-1,355.9375,231,199
-1,358.5,230,199
1527757086975,1.0625,229,199
-1,3.25,229,199
-1,5.8125,229,199
-1,8.375,229,199
-1,11,232,199
-1,13.5625,233,199
-1,15.9375,235,199
-1,18.125,237,199
-1,20.3125,239,199
-1,22.5,243,199
-1,24.75,247,199
-1,26.9375,250,199
-1,29.125,253,199
-1,31.3125,257,199
-1,33.5,263,199
-1,35.75,270,199
-1,37.9375,275,199
-1,40.125,281,199
-1,42.3125,268,199
-1,44.5625,255,199
-1,46.75,242,199
-1,48.9375,231,199
-1,51.125,223,199
